data,sample_size,RMSE,MAE,time_took,kernel
airplane,16080,0.944195696,,1026.708231,"Matern(length_scale=1.1, nu=1.5)"
airplane,16880,0.977712087,,1183.077146,"Matern(length_scale=1.1, nu=1.5)"
airplane,17680,0.970147243,,1353.379917,"Matern(length_scale=1.1, nu=1.5)"
airplane,80,0.703366103,,0.014026,"Matern(length_scale=1.1, nu=1.5)"
airplane,880,1.118647119,,0.859489,"Matern(length_scale=1.1, nu=1.5)"
airplane,1680,0.914476256,,3.225318,"Matern(length_scale=1.1, nu=1.5)"
airplane,2480,0.88160397,,7.650656,"Matern(length_scale=1.1, nu=1.5)"
airplane,3280,0.979921702,,14.798529,"Matern(length_scale=1.1, nu=1.5)"
airplane,4080,0.955940646,,25.590233,"Matern(length_scale=1.1, nu=1.5)"
airplane,4880,1.139817032,,40.538781,"Matern(length_scale=1.1, nu=1.5)"
airplane,5680,0.929159991,,61.120484,"Matern(length_scale=1.1, nu=1.5)"
airplane,6480,0.970194963,,88.465153,"Matern(length_scale=1.1, nu=1.5)"
airplane,7280,1.045003897,,122.658228,"Matern(length_scale=1.1, nu=1.5)"
airplane,8080,0.988266104,,164.764843,"Matern(length_scale=1.1, nu=1.5)"
airplane,8880,1.037059938,,215.546356,"Matern(length_scale=1.1, nu=1.5)"
airplane,9680,0.947179883,,276.052614,"Matern(length_scale=1.1, nu=1.5)"
airplane,10480,1.003579618,,347.215818,"Matern(length_scale=1.1, nu=1.5)"
airplane,11280,0.991807347,,428.488741,"Matern(length_scale=1.1, nu=1.5)"
airplane,12080,1.003913292,,522.917002,"Matern(length_scale=1.1, nu=1.5)"
airplane,12880,0.970221104,,629.835203,"Matern(length_scale=1.1, nu=1.5)"
airplane,13680,1.016633062,,750.693466,"Matern(length_scale=1.1, nu=1.5)"
airplane,14480,1.213675926,,886.733638,"Matern(length_scale=1.1, nu=1.5)"
airplane,15280,1.10800072,,1021.903517,"Matern(length_scale=1.1, nu=1.5)"
airplane,16080,0.958019694,,1166.130526,"Matern(length_scale=1.1, nu=1.5)"
airplane,16880,0.960850945,,1343.991602,"Matern(length_scale=1.1, nu=1.5)"
airplane,17680,0.996087671,,1540.614239,"Matern(length_scale=1.1, nu=1.5)"
airplane,80,0.942378357,0.702156744,0.011326,"Matern(length_scale=1.1, nu=1.5)"
airplane,880,1.023881019,0.72702703,0.714325,"Matern(length_scale=1.1, nu=1.5)"
airplane,1680,0.991249224,0.648322683,2.838911,"Matern(length_scale=1.1, nu=1.5)"
airplane,2480,0.87383213,0.647879361,6.66452,"Matern(length_scale=1.1, nu=1.5)"
airplane,3280,1.093572478,0.68883318,12.813576,"Matern(length_scale=1.1, nu=1.5)"
airplane,4080,0.841788302,0.612826354,21.834268,"Matern(length_scale=1.1, nu=1.5)"
airplane,4880,0.874624614,0.625820892,34.586792,"Matern(length_scale=1.1, nu=1.5)"
airplane,5680,0.898029256,0.622101722,52.031796,"Matern(length_scale=1.1, nu=1.5)"
airplane,6480,0.855440631,0.619467744,75.04242,"Matern(length_scale=1.1, nu=1.5)"
airplane,7280,0.926182572,0.631090279,104.230627,"Matern(length_scale=1.1, nu=1.5)"
airplane,8080,0.980599097,0.654442655,140.444103,"Matern(length_scale=1.1, nu=1.5)"
airplane,8880,0.930057045,0.650635366,183.784166,"Matern(length_scale=1.1, nu=1.5)"
airplane,9680,1.073771562,0.663604741,235.798337,"Matern(length_scale=1.1, nu=1.5)"
airplane,10480,1.022935458,0.655778365,296.343769,"Matern(length_scale=1.1, nu=1.5)"
airplane,11280,0.951305501,0.650546165,365.315317,"Matern(length_scale=1.1, nu=1.5)"
airplane,12080,0.973597765,0.645998264,445.869032,"Matern(length_scale=1.1, nu=1.5)"
airplane,12880,0.982641319,0.652137932,537.495358,"Matern(length_scale=1.1, nu=1.5)"
airplane,13680,0.895950879,0.641369752,640.099233,"Matern(length_scale=1.1, nu=1.5)"
airplane,14480,1.002849109,0.666380849,755.47566,"Matern(length_scale=1.1, nu=1.5)"
airplane,15280,0.954451236,0.649132806,883.084525,"Matern(length_scale=1.1, nu=1.5)"
airplane,16080,1.050125476,0.676365524,1026.481579,"Matern(length_scale=1.1, nu=1.5)"
airplane,16880,0.937731035,0.652677453,1183.133066,"Matern(length_scale=1.1, nu=1.5)"
airplane,17680,0.971905899,0.65267936,1355.280265,"Matern(length_scale=1.1, nu=1.5)"
airplane,80,0.834810692,,0.012352,"Matern(length_scale=1.1, nu=2.5)"
airplane,880,0.823897071,,0.786024,"Matern(length_scale=1.1, nu=2.5)"
airplane,1680,0.837205242,,2.931121,"Matern(length_scale=1.1, nu=2.5)"
airplane,2480,0.904979812,,6.810615,"Matern(length_scale=1.1, nu=2.5)"
airplane,3280,1.062108928,,13.054943,"Matern(length_scale=1.1, nu=2.5)"
airplane,4080,1.094130041,,22.26955,"Matern(length_scale=1.1, nu=2.5)"
airplane,4880,1.096247531,,35.125777,"Matern(length_scale=1.1, nu=2.5)"
airplane,5680,0.981629946,,52.695553,"Matern(length_scale=1.1, nu=2.5)"
airplane,6480,0.867852715,,75.927377,"Matern(length_scale=1.1, nu=2.5)"
airplane,7280,0.989866634,,105.475594,"Matern(length_scale=1.1, nu=2.5)"
airplane,8080,1.090725122,,142.147326,"Matern(length_scale=1.1, nu=2.5)"
airplane,8880,0.966477167,,185.333577,"Matern(length_scale=1.1, nu=2.5)"
airplane,9680,1.083484865,,237.615763,"Matern(length_scale=1.1, nu=2.5)"
airplane,10480,0.968437255,,299.034493,"Matern(length_scale=1.1, nu=2.5)"
airplane,11280,1.052653636,,368.602355,"Matern(length_scale=1.1, nu=2.5)"
airplane,12080,1.057389563,,448.989908,"Matern(length_scale=1.1, nu=2.5)"
airplane,12880,0.939762138,,540.868063,"Matern(length_scale=1.1, nu=2.5)"
airplane,13680,0.957496377,,644.00155,"Matern(length_scale=1.1, nu=2.5)"
airplane,14480,0.918340733,,760.638658,"Matern(length_scale=1.1, nu=2.5)"
airplane,15280,0.989819297,,888.404199,"Matern(length_scale=1.1, nu=2.5)"
airplane,16080,0.927941701,,1032.97169,"Matern(length_scale=1.1, nu=2.5)"
airplane,16880,0.957810399,,1190.611177,"Matern(length_scale=1.1, nu=2.5)"
airplane,80,1.572902836,,0.012153,"Matern(length_scale=1.1, nu=2.5)"
airplane,880,0.836974433,,0.777052,"Matern(length_scale=1.1, nu=2.5)"
airplane,1680,0.993934266,,2.872028,"Matern(length_scale=1.1, nu=2.5)"
airplane,2480,1.059527539,,6.799316,"Matern(length_scale=1.1, nu=2.5)"
airplane,3280,1.0462911,,13.021541,"Matern(length_scale=1.1, nu=2.5)"
airplane,4080,0.975604537,,22.15486,"Matern(length_scale=1.1, nu=2.5)"
airplane,4880,0.906361643,,35.027647,"Matern(length_scale=1.1, nu=2.5)"
airplane,5680,0.981164788,,52.582204,"Matern(length_scale=1.1, nu=2.5)"
airplane,6480,0.887758171,,75.886482,"Matern(length_scale=1.1, nu=2.5)"
airplane,7280,1.052460483,,105.32161,"Matern(length_scale=1.1, nu=2.5)"
airplane,8080,0.876801186,,141.680625,"Matern(length_scale=1.1, nu=2.5)"
airplane,8880,0.94120636,,185.336237,"Matern(length_scale=1.1, nu=2.5)"
airplane,9680,1.02864063,,237.646368,"Matern(length_scale=1.1, nu=2.5)"
airplane,10480,1.060587906,,298.210163,"Matern(length_scale=1.1, nu=2.5)"
airplane,11280,0.965386738,,367.521606,"Matern(length_scale=1.1, nu=2.5)"
airplane,12080,1.013470008,,448.421612,"Matern(length_scale=1.1, nu=2.5)"
airplane,12880,0.942515906,,540.786937,"Matern(length_scale=1.1, nu=2.5)"
airplane,13680,0.981249068,,643.799834,"Matern(length_scale=1.1, nu=2.5)"
airplane,14480,1.024882779,,759.590912,"Matern(length_scale=1.1, nu=2.5)"
airplane,15280,0.980613861,,887.700379,"Matern(length_scale=1.1, nu=2.5)"
airplane,16080,0.921526861,,1031.65449,"Matern(length_scale=1.1, nu=2.5)"
airplane,16880,0.972068747,,1188.600488,"Matern(length_scale=1.1, nu=2.5)"
airplane,80,1.241529872,,0.011943,"Matern(length_scale=1.1, nu=2.5)"
airplane,880,0.937386654,,0.782059,"Matern(length_scale=1.1, nu=2.5)"
airplane,1680,1.216956915,,2.905503,"Matern(length_scale=1.1, nu=2.5)"
airplane,2480,1.007434281,,6.788721,"Matern(length_scale=1.1, nu=2.5)"
airplane,3280,0.923715144,,13.037398,"Matern(length_scale=1.1, nu=2.5)"
airplane,4080,0.954843351,,22.149121,"Matern(length_scale=1.1, nu=2.5)"
