data,sample_size,RMSE,MAE,time_took,kernel
abalone,560,10.59716943,10.1,0.278271,"Matern(length_scale=1.1, nu = 2.5)"
abalone,800,10.28542658,9.78,0.629152,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1040,10.12137874,9.703846154,1.152609,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1280,10.40657845,9.884375,1.955115,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1520,10.78009862,10.24210526,2.436769,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1760,10.17997142,9.645454545,3.26225,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2000,10.44327535,9.922,4.244277,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2240,10.25339665,9.803571429,5.650802,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2480,10.41633333,9.938709677,6.876565,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2720,10.58821487,9.992647059,8.528121,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2960,10.57738536,10.02702703,10.37338,"Matern(length_scale=1.1, nu = 2.5)"
abalone,3200,10.56095403,10.01875,12.64354,"Matern(length_scale=1.1, nu = 2.5)"
abalone,80,8.952653238,8.65,0.020084,"Matern(length_scale=1.1, nu = 2.5)"
abalone,320,9.713392816,9.225,0.095739,"Matern(length_scale=1.1, nu = 2.5)"
abalone,560,10.52683645,9.985714286,0.279414,"Matern(length_scale=1.1, nu = 2.5)"
abalone,800,10.54087283,10.02,0.628534,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1040,10.62924123,10.08846154,1.15874,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1280,10.28013862,9.8,1.974036,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1520,10.26401481,9.755263158,2.454238,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1760,10.69876798,10.12272727,3.273901,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2000,10.33469883,9.87,4.253678,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2240,10.52344322,10,5.653189,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2480,10.22362855,9.767741935,6.895294,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2720,10.19169212,9.732352941,8.531477,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2960,10.52744162,10,10.36302,"Matern(length_scale=1.1, nu = 2.5)"
