"sample_size","time.taken","RMSE","MAE"
NA,NA,NA,NA
100,3.07780194282532,1.89975078903897,1.06708348237205
10100,293.82529425621,1.022305737675,0.645380941569457
20100,589.606005430222,1.02775113515428,0.633408309213128
30100,820.420470237732,0.998588628285759,0.646915001425656
40100,654.33546090126,0.949059062871187,0.615985020942507
50100,934.7959856987,0.99840755183728,0.641927237335845
60100,991.044095754623,0.946215616501757,0.614277655610327
70100,1343.47340393066,0.98710283270354,0.629767809917141
80100,1320.04107737541,0.967808753188317,0.612919167805056
90100,1483.14697051048,0.953059627530572,0.611419743218477
100100,1995.53368830681,0.990884426984344,0.630517386617282
110100,1823.5732626915,0.957007468391745,0.6105439252074
120100,2426.70611810684,0.985527470675973,0.626091896034657
130100,2177.82090711594,0.964496691300785,0.611820724479963
140100,2828.41415977478,0.97148939526825,0.616046296601369
150100,3103.71493411064,0.978424224281556,0.620215913652172
160100,2708.28138637543,0.942133579727228,0.604263909119793
170100,2912.17134451866,0.95843848690941,0.605078099610428
180100,3702.57329154015,0.96499226218184,0.612364162359463
190100,3244.20760154724,0.949679343499463,0.601562801218421
200100,4113.82878661156,0.960040728010029,0.609794598111457
210100,3668.61124825478,0.951470468232735,0.600820890695242
220100,3857.39722084999,0.949692041475025,0.6033078413355
230100,4762.06605243683,0.960596125543916,0.609162444482567
240100,4173.02931571007,0.947512680506462,0.600957305687436
250100,5363.63664102554,0.958633567329807,0.608450022257914
260100,5438.38513326645,0.957361940386103,0.605416136471073
270100,5379.76030564308,0.956867288119659,0.604668240533084
280100,5588.42527103424,0.957407006608659,0.605453156313051
290100,5758.19776368141,0.963459647161816,0.607689680393459
300100,5707.36826968193,0.957459548733745,0.60510116570492
310100,4785.78120613098,0.945141740506605,0.596987536004976
320100,5717.28081870079,0.956355921998313,0.604156602299595
330100,4766.9677977562,0.9423355288828,0.595734841011765
340100,5459.06981945038,0.951960515955086,0.602101111646098
350100,4872.82485151291,0.942901207252291,0.596613288943824
360100,4813.96621322632,0.943982935409045,0.59579994057203
370100,4897.93708729744,0.942174603668632,0.594834988738957
380100,5818.79049086571,0.950838426127253,0.600013070564394
390100,5663.97649860382,0.951499176300998,0.600899051937117
400100,5680.33554315567,0.948158818630457,0.59823359668196
410100,5592.08859038353,0.948536225423201,0.598801846529038
420100,6070.58820223808,0.952031130920547,0.601209276695375
430100,5015.95196700096,0.940526734950265,0.594397771064803
440100,6070.44971013069,0.95268083529943,0.60109884117964
450100,5097.29268527031,0.938922700290507,0.59284230536506
460100,6036.55345773697,0.951405346203651,0.598482125207473
470100,5043.19577646255,0.940765854661122,0.59296457262639
480100,5123.85626316071,0.937440988592436,0.591758281333256
490100,5170.03974294662,0.939191577442882,0.592724460562626
500100,5759.20036816597,0.944613324840878,0.595244727838671
510100,5193.65988063812,0.937292200207789,0.589907289556559
520100,5240.02474665642,0.937334433558476,0.591334269452896
530100,5774.90608859062,0.946500725500848,0.595982407127273
540100,5287.81769824028,0.936358938646678,0.59047761427856
550100,5328.18417692184,0.937321494445625,0.591171936116713
560100,5981.18366765976,0.943893523099597,0.5942931292994
570100,5741.59006810188,0.940960266411459,0.593622122404799
580100,5314.97296667099,0.934392019597174,0.58906920789818
590100,5771.88496208191,0.942573217238239,0.593205164135226
600100,6106.65715646744,0.943763482309754,0.594048519587886
610100,6179.50214862823,0.942537152538119,0.593467866741814
620100,5521.16371941566,0.934120070227347,0.589570749436978
630100,5491.86156582832,0.933213513828201,0.588103501123844
640100,5938.65957903862,0.940500651306816,0.591994150210809
650100,6088.067060709,0.940607882921698,0.591965658840224
660100,5619.32284235954,0.933537756849807,0.588071328212221
670100,5597.34293270111,0.933474301950747,0.58801400192877
680100,6358.76110649109,0.941138528554725,0.592767436211079
690100,5528.71125984192,0.932483206617882,0.587424362018794
700100,6043.6275703907,0.939128326315552,0.591523718087434
710100,6484.9053838253,0.941288046433596,0.59168632513983
720100,5730.27791309357,0.930801912417417,0.586867895394281
730100,5682.01141238213,0.931382694051133,0.586979786918524
740100,6331.28278946877,0.93712817528099,0.589797716274982
750100,6284.40626358986,0.937426388773546,0.589708435968604
760100,5813.8833129406,0.930250071318326,0.586275321604192
770100,5826.66599345207,0.930552891195547,0.585963316114839
780100,6652.31855964661,0.941515179458698,0.591365649412684
790100,5863.5423541069,0.931194168575458,0.585688694548709
800100,5921.0423078537,0.929526155474708,0.584786239782699
810100,6267.0027525425,0.935697782496744,0.588216494931414
820100,6121.76753640175,0.935502932370173,0.588030669785209
830100,5876.2931394577,0.929925101410886,0.584531886940214
840100,5814.36573600769,0.929995233342659,0.585075524887957
850100,6832.99502968788,0.940207596993341,0.589349566687933
860100,6393.3918170929,0.936418967184733,0.587350452722997
870100,6328.04776620865,0.935277910033794,0.587262198747066
880100,6160.08264923096,0.929023797894339,0.584371834606783
890100,6159.6791677475,0.929219002759257,0.584391584896454
900100,6907.33892846107,0.935495849788904,0.587757896330958
910100,6194.17730641365,0.928812626248835,0.584033803792947
920100,6763.08872270584,0.937192767339965,0.587347480250426
930100,6665.01287341118,0.935032747880424,0.586654812441632
940100,6576.23691821098,0.933482352923353,0.586184036800013
950100,6164.35462498665,0.926617246090265,0.582923926419602
960100,6333.63001036644,0.92825429604579,0.58314252428299
970100,6275.54273104668,0.92807098428353,0.582842541936953
980100,6623.60058236122,0.932078740376977,0.585212436844997
990100,6650.74106740952,0.9348857152879,0.585866889996992
1e+06,7140.71585345268,0.934932734442703,0.586818233036208
1052854,6620.73285675049,0.925967736582238,0.581497631145235
