"sample_size","time.taken","RMSE","MAE","time.taken.test"
NA,NA,NA,NA,NA
100,0.00492143630981445,2.3135764255411,1.64389046056495,0.000741958618164062
400,0.0548775196075439,2.21613942740268,1.58917378428913,0.000819206237792969
700,0.284678220748901,2.17871829823082,1.5678081842943,0.000833034515380859
1000,0.766185998916626,2.15695780812557,1.55968264124979,0.000869512557983398
1300,1.63531923294067,2.15766605162835,1.54973891257822,0.000870943069458008
1600,3.11395692825317,2.18346521838445,1.56224557703333,0.000875949859619141
1900,5.73823976516724,2.17675825057338,1.5737830685603,0.000877857208251953
2200,8.79709982872009,2.1604647793937,1.56000627017007,0.000911712646484375
2500,14.0331540107727,2.19293081211721,1.57520781790533,0.000896215438842773
2800,20.3002138137817,2.18757937193368,1.56407297587365,0.000931739807128906
3100,28.2813012599945,2.18618095589512,1.56306902181738,0.000937461853027344
3341,35.5525217056274,2.18377111024562,1.56523966818383,0.000923633575439453
100,0.00507521629333496,2.2459507902407,1.58196167987581,0.000744819641113281
400,0.0548975467681885,2.19506715790869,1.54618704847203,0.000811576843261719
700,0.283305644989014,2.17945132024274,1.57941900808712,0.000851869583129883
1000,0.775273561477661,2.2023051417323,1.58024446924002,0.000870704650878906
1300,1.64570951461792,2.20485155084214,1.58248152696766,0.000841617584228516
1600,3.33607411384583,2.18731223046594,1.55954536294518,0.000876665115356445
1900,5.30051803588867,2.19245803259169,1.56298529168864,0.000902891159057617
2200,8.93693399429321,2.18399337858485,1.55834424496543,0.000900745391845703
2500,14.6267993450165,2.17072117688275,1.56516189596763,0.000923633575439453
2800,20.150313615799,2.18677647923657,1.56749683413887,0.0009307861328125
3100,27.6816809177399,2.19072591835491,1.56872599522479,0.00094294548034668
3341,36.5952994823456,2.18377111024558,1.56523966818368,0.000946998596191406
100,0.00487995147705078,2.1935565296087,1.55078078935382,0.000725030899047852
400,0.0560786724090576,2.21022354281879,1.5764802154561,0.000823020935058594
700,0.285180807113647,2.17024112611011,1.57442512324527,0.000825881958007812
1000,0.773609638214111,2.17047071956742,1.56841938447844,0.000891923904418945
1300,1.65210437774658,2.16850358929202,1.55866414588283,0.000884056091308594
1600,3.22528862953186,2.19931075999744,1.58148074825185,0.00087285041809082
1900,5.4954719543457,2.16406556318936,1.55187776726004,0.000936746597290039
2200,8.4528501033783,2.18628688295095,1.56458687408575,0.000903606414794922
2500,13.6434016227722,2.18569739312345,1.56664426633694,0.000947713851928711
2800,20.1909079551697,2.18947676142755,1.56842318821665,0.000977754592895508
3100,28.1715502738953,2.18026227860091,1.5611935400255,0.000929832458496094
3341,36.3268344402313,2.18377111024559,1.56523966818369,0.000912904739379883
100,0.00481343269348145,2.29365099766138,1.75012278754892,0.000711202621459961
400,0.0539560317993164,2.18995513084538,1.58222438959297,0.000796318054199219
700,0.281005620956421,2.18238649885644,1.59035410483315,0.000849723815917969
1000,0.769343852996826,2.17478967091687,1.5549799677797,0.000869989395141602
1300,1.63308930397034,2.18077964918604,1.56337646773627,0.000903129577636719
1600,3.06841468811035,2.16259381458719,1.54218668976159,0.000869512557983398
1900,4.97057414054871,2.16799364571978,1.55882054736773,0.000865459442138672
2200,9.48748373985291,2.1589579433317,1.55968910599978,0.000947475433349609
2500,14.1262173652649,2.18733189436045,1.56591374869578,0.000896453857421875
2800,20.3015697002411,2.18506448160923,1.56786630447209,0.000907182693481445
3100,28.2928206920624,2.18418073693255,1.5649820439264,0.000945091247558594
3341,36.862030506134,2.18377111024564,1.56523966818378,0.000926971435546875
