"sample_size","time.taken","RMSE","MAE"
NA,NA,NA,NA
100,9.18481922149658,3.69298370650743,2.68783306725889
600,11.5877959728241,2.36116087481948,1.68493973945767
1100,11.7851252555847,2.35355565774554,1.68047276111113
1600,11.4271187782288,2.30666314950108,1.64877742357675
2100,11.6644101142883,2.37981231028224,1.63778470181019
2600,11.6073484420776,2.19279776787808,1.56628027402171
3100,11.6863911151886,2.20572354230649,1.57381346165248
100,10.1011619567871,4.00210263468663,2.81318420602414
600,11.5716216564178,2.37669209483693,1.72415936118074
1100,11.5915629863739,2.45308482356892,1.6807883202083
1600,11.5076899528503,2.44296569212149,1.66722456289918
2100,11.4906158447266,2.49847666626614,1.6986033304261
2600,11.731974363327,2.26613339526367,1.63026948557123
3100,11.7825422286987,2.25675336043948,1.60388479407778
