"data","method","sample_size","time.taken","RMSE","MAE"
"airplane","alcray",850100,6832.99503,0.940207597,0.589349567
"airplane","alcray",860100,6393.391817,0.936418967,0.587350453
"airplane","alcray",870100,6328.047766,0.93527791,0.587262199
"airplane","alcray",880100,6160.082649,0.929023798,0.584371835
"airplane","alcray",890100,6159.679168,0.929219003,0.584391585
"airplane","alcray",900100,6907.338928,0.93549585,0.587757896
"airplane","alcray",910100,6194.177306,0.928812626,0.584033804
"airplane","alcray",920100,6763.088723,0.937192767,0.58734748
"airplane","alcray",930100,6665.012873,0.935032748,0.586654812
"airplane","alcray",940100,6576.236918,0.933482353,0.586184037
"airplane","alcray",950100,6164.354625,0.926617246,0.582923926
"airplane","alcray",960100,6333.63001,0.928254296,0.583142524
"airplane","alcray",970100,6275.542731,0.928070984,0.582842542
"airplane","alcray",980100,6623.600582,0.93207874,0.585212437
"airplane","alcray",990100,6650.741067,0.934885715,0.58586689
"airplane","alcray",1e+06,7140.715853,0.934932734,0.586818233
"airplane","alcray",1052854,6620.732857,0.925967737,0.581497631
"SARCOS","alc",100,1.00669384,10.38868543,6.70264601
"SARCOS","alc",600,17.6070075,7.574319073,4.664073281
"SARCOS","alc",1100,53.48949933,6.642390059,4.102184506
"SARCOS","alc",1600,77.05090165,6.371480079,3.910504369
"SARCOS","alc",2100,101.8969498,6.212197282,3.705160411
"SARCOS","alc",2600,126.9773352,5.25595238,3.227703394
"SARCOS","alc",3100,150.0719965,5.706628072,3.40833835
"SARCOS","alc",3600,175.6451244,5.482004714,3.249476454
"SARCOS","alc",4100,199.9010324,4.85747597,2.972997445
"SARCOS","alc",4600,217.3512661,4.624311935,2.805736984
"SARCOS","alc",5100,217.6768007,4.484834495,2.740682219
"SARCOS","alc",5600,216.7640538,4.358592628,2.612944465
"SARCOS","alc",6100,217.169013,4.32052315,2.573845045
"SARCOS","alc",6600,217.5974352,4.292591303,2.563560613
"SARCOS","alc",7100,217.4396281,4.060862509,2.451368974
"SARCOS","alc",7600,217.2619896,4.017308664,2.397476072
"SARCOS","alc",8100,216.0703585,3.830205132,2.323576937
"SARCOS","alc",8600,217.1957691,4.027951569,2.313867792
"SARCOS","alc",9100,217.1907845,3.546832768,2.154837435
"SARCOS","alc",9600,217.8506978,3.68756709,2.17372151
"SARCOS","alc",10100,216.8656917,3.717088669,2.18552876
"SARCOS","alc",10600,217.6980119,3.372078347,2.08942017
"SARCOS","alc",11100,218.1144714,3.307408732,2.012373941
"SARCOS","alc",11600,218.1802697,3.541451012,2.084368899
"SARCOS","alc",12100,217.7203104,3.428326553,2.03824695
"SARCOS","alc",12600,217.3158245,3.302732298,1.948393292
"SARCOS","alc",13100,217.6345105,3.461774507,2.015408186
"SARCOS","alc",13600,219.064621,3.119253012,1.847507827
"SARCOS","alc",14100,217.994137,3.328540662,1.913739505
"SARCOS","alc",14600,218.3065321,3.146610337,1.858848105
"SARCOS","alc",15100,218.7478955,2.958403617,1.803985506
"SARCOS","alc",15600,218.8550279,3.030520956,1.783185188
"SARCOS","alc",16100,218.7171781,2.892096653,1.778477055
"SARCOS","alc",16600,218.9501166,2.991718442,1.75731889
"SARCOS","alc",17100,218.5778673,3.014713182,1.771266728
"SARCOS","alc",17600,218.8863041,2.738808563,1.667238781
"SARCOS","alc",18100,219.745681,2.811636439,1.673181805
"SARCOS","alc",18600,218.5250025,2.736630809,1.664599763
"SARCOS","alc",19100,218.8192129,2.650100636,1.617651958
"SARCOS","alc",19600,218.7150543,2.631095209,1.600795978
"SARCOS","alc",20100,219.0643661,2.554628716,1.588572667
"SARCOS","alc",20600,218.9657564,2.622787924,1.568810748
"SARCOS","alc",21100,219.18855,2.703945625,1.555022549
"SARCOS","alc",21600,219.4518836,2.614775383,1.563170519
"SARCOS","alc",22100,219.2627203,2.672768618,1.589488004
"SARCOS","alc",22600,218.687536,2.458864606,1.506484614
"SARCOS","alc",23100,219.6869025,2.475752803,1.486510971
"SARCOS","alc",23600,219.3359206,2.360896681,1.434022092
"SARCOS","alc",24100,219.8827081,2.492543149,1.487180172
"SARCOS","alc",24600,219.1699574,2.509935125,1.467277737
"SARCOS","alc",25100,220.4892287,2.541860836,1.425566961
"SARCOS","alc",25600,219.1068943,2.443079763,1.369352413
"SARCOS","alc",26100,218.5837071,2.244073496,1.374443994
"SARCOS","alc",26600,220.4227667,2.256843755,1.371107103
"SARCOS","alc",27100,219.6176147,2.560067321,1.362590462
"SARCOS","alc",27600,220.4156382,2.306973443,1.370157817
"SARCOS","alc",28100,219.0548368,2.256078655,1.356882457
"SARCOS","alc",28600,219.259933,2.29974111,1.366017689
"SARCOS","alc",29100,220.7035913,2.263032898,1.332182949
"SARCOS","alc",29600,219.752856,2.172065542,1.294407461
"SARCOS","alc",30100,220.4566283,2.273499412,1.33075428
"SARCOS","alc",30600,220.9561362,2.263006327,1.329623658
"SARCOS","alc",31100,220.035744,2.082053417,1.25602242
"SARCOS","alc",31600,219.702389,2.230729732,1.295488198
"SARCOS","alc",32100,219.6498308,2.067184205,1.255224596
"SARCOS","alc",32600,220.6300836,2.170266099,1.261224822
"SARCOS","alc",33100,219.9735334,2.033480277,1.222941375
"SARCOS","alc",33600,219.6466403,2.136390509,1.252366277
"SARCOS","alc",34100,220.3503423,2.044434953,1.214449572
"SARCOS","alc",34600,220.8218098,1.998330759,1.191160555
"SARCOS","alc",35100,219.9988041,1.959438406,1.18887753
"SARCOS","alc",35600,219.7842765,1.906491337,1.148485517
"SARCOS","alc",36100,220.2879882,1.92038363,1.190577155
"SARCOS","alc",36600,220.227037,1.933227674,1.183943968
"SARCOS","alc",37100,220.5458243,1.910570876,1.165866415
"SARCOS","alc",37600,220.1793168,1.843539613,1.136305395
"SARCOS","alc",38100,220.8689458,1.881256549,1.162925396
"SARCOS","alc",38600,219.856317,1.902065618,1.137444596
"SARCOS","alc",39100,220.1635096,1.807098911,1.120027969
"SARCOS","alc",39600,220.2995391,1.84091729,1.113230538
"SARCOS","alc",40100,220.7052238,1.741872897,1.073297702
"SARCOS","alc",40600,220.6976798,1.801275518,1.093917768
"SARCOS","alc",41100,220.0253308,1.83731738,1.100206528
"SARCOS","alc",41600,220.2496355,1.745857747,1.083751299
"SARCOS","alc",42100,220.6955512,1.818849753,1.076295221
"SARCOS","alc",42600,220.9632773,1.737832248,1.082968698
"SARCOS","alc",43100,220.2789419,1.71006213,1.06545819
"SARCOS","alc",43600,221.4594176,1.716715049,1.049482858
"SARCOS","alc",44100,220.6941671,1.693233805,1.036448593
"SARCOS","alcray",100,3.592181206,14.56705785,8.74782528
"SARCOS","alcray",600,18.58156753,9.757348977,5.663660956
"SARCOS","alcray",1100,34.11568904,7.438699287,4.63987652
"SARCOS","alcray",1600,51.60695934,6.237844206,3.796785972
"SARCOS","alcray",2100,68.33695269,5.898624088,3.607553541
"SARCOS","alcray",2600,84.61876345,5.720460183,3.468225549
"SARCOS","alcray",3100,103.0894797,5.05824826,3.144855976
"SARCOS","alcray",3600,121.3758018,5.158242953,3.072671166
"SARCOS","alcray",4100,139.789552,5.289344402,3.146396367
"SARCOS","alcray",4600,155.2678802,4.796279035,2.930088426
"SARCOS","alcray",5100,155.6192968,4.604845806,2.807934941
"SARCOS","alcray",5600,158.5185046,4.718037312,2.752779204
"SARCOS","alcray",6100,162.8550265,4.248221579,2.554640191
"SARCOS","alcray",6600,163.7695436,4.229128144,2.546772265
"SARCOS","alcray",7100,165.099947,4.285979923,2.531968477
"SARCOS","alcray",7600,168.4771204,3.985601377,2.397170894
"SARCOS","alcray",8100,169.7924647,3.871521951,2.358114299
"SARCOS","alcray",8600,171.2110646,3.942335437,2.341646588
"SARCOS","alcray",9100,174.2837319,3.690665199,2.237791276
"SARCOS","alcray",9600,176.7118385,3.636719281,2.188990857
"SARCOS","alcray",10100,177.0958281,3.577500816,2.150832502
"SARCOS","alcray",10600,178.6787229,3.448675695,2.082647841
"SARCOS","alcray",11100,176.6384122,3.481813499,2.108116457
"SARCOS","alcray",11600,178.0219431,3.494668361,2.063954165
"SARCOS","alcray",12100,178.4450245,3.403904748,2.039217779
"SARCOS","alcray",12600,178.8913779,3.380734193,1.942808758
"SARCOS","alcray",13100,179.1578727,3.168824817,1.890894469
"SARCOS","alcray",13600,178.3058262,3.305889459,1.911310009
"SARCOS","alcray",14100,179.2365501,3.178313899,1.826422297
"SARCOS","alcray",14600,180.9495146,2.988313631,1.818600899
"SARCOS","alcray",15100,179.6468546,3.050065655,1.847473905
"SARCOS","alcray",15600,181.0074189,2.912479352,1.725111368
"SARCOS","alcray",16100,180.5085633,3.047825218,1.745696381
"SARCOS","alcray",16600,180.5143974,2.982433656,1.740410573
"SARCOS","alcray",17100,180.8128064,2.986037302,1.695818979
"SARCOS","alcray",17600,181.6141346,2.804757285,1.632380692
"SARCOS","alcray",18100,182.0465262,2.832180009,1.658029037
"SARCOS","alcray",18600,180.6145008,2.658052041,1.623483148
"SARCOS","alcray",19100,180.9863839,2.585521745,1.552446312
"SARCOS","alcray",19600,180.9292989,2.633990553,1.548842421
"SARCOS","alcray",20100,182.0888827,2.718667037,1.563251962
"SARCOS","alcray",20600,181.6883736,2.807836556,1.57778794
"SARCOS","alcray",21100,182.822367,2.610527716,1.528413684
"SARCOS","alcray",21600,181.6561074,2.489801888,1.486945132
