"sample_size","time.taken","RMSE","MAE"
NA,NA,NA,NA
100,3.59218120574951,14.5670578478854,8.74782527991731
600,18.5815675258636,9.75734897701012,5.66366095584009
1100,34.1156890392303,7.43869928653422,4.63987652002833
1600,51.6069593429565,6.23784420613532,3.79678597231118
2100,68.3369526863098,5.89862408801625,3.60755354146166
2600,84.6187634468079,5.72046018283597,3.46822554905101
3100,103.08947968483,5.05824825956839,3.14485597573251
3600,121.375801801682,5.15824295334487,3.07267116562659
4100,139.789551973343,5.28934440173709,3.14639636706045
4600,155.26788020134,4.7962790349436,2.93008842604424
5100,155.619296789169,4.60484580612409,2.80793494087055
5600,158.518504619598,4.71803731161641,2.75277920419671
6100,162.855026483536,4.24822157944832,2.55464019056393
6600,163.769543647766,4.22912814399712,2.54677226465996
7100,165.099946975708,4.28597992322074,2.5319684766631
7600,168.477120399475,3.985601377085,2.39717089415251
8100,169.792464733124,3.8715219510282,2.35811429881686
8600,171.211064577103,3.94233543716773,2.34164658837121
9100,174.283731937408,3.69066519887584,2.23779127582941
9600,176.71183848381,3.63671928117202,2.18899085692655
10100,177.095828056335,3.57750081593116,2.15083250179651
10600,178.678722858429,3.44867569462736,2.08264784084073
11100,176.638412237167,3.48181349865127,2.10811645736701
11600,178.021943092346,3.49466836111372,2.06395416501026
12100,178.445024490356,3.40390474813976,2.03921777948178
12600,178.891377925873,3.38073419281317,1.94280875816857
13100,179.157872676849,3.16882481730971,1.89089446887384
13600,178.305826187134,3.30588945914563,1.91131000935564
14100,179.236550092697,3.17831389900927,1.82642229673184
14600,180.949514627457,2.98831363074987,1.81860089850568
15100,179.646854639053,3.05006565539536,1.84747390538888
15600,181.007418870926,2.91247935179303,1.72511136811799
16100,180.508563280106,3.04782521765563,1.74569638134042
16600,180.514397382736,2.9824336562171,1.74041057308499
17100,180.812806367874,2.98603730167487,1.69581897897392
17600,181.614134550095,2.80475728524275,1.63238069213136
18100,182.046526193619,2.83218000892345,1.65802903692994
18600,180.614500761032,2.65805204123851,1.6234831478678
19100,180.986383914948,2.5855217446964,1.55244631239092
19600,180.929298877716,2.63399055254763,1.54884242146024
20100,182.088882684708,2.7186670365187,1.56325196249635
20600,181.688373565674,2.80783655627947,1.57778794004408
21100,182.822366952896,2.610527715748,1.52841368363594
21600,181.65610742569,2.48980188834833,1.4869451319237
22100,181.740673303604,2.50435171129804,1.47649251617985
22600,182.071722745895,2.38814220588123,1.42531877220399
23100,181.692050218582,2.37780023207358,1.41681958648894
23600,181.575387716293,2.53828607689488,1.45572706318482
24100,183.57163643837,2.35025122146754,1.38556693592929
24600,183.270720005035,2.38784689006971,1.35891847506544
25100,183.637293100357,2.22252643826453,1.33902855144458
25600,182.715422153473,2.23845548364773,1.32505135716219
26100,184.551760673523,2.3231988868248,1.33011744284141
26600,184.457916975021,2.26838329446899,1.33270153093317
27100,183.547202348709,2.18515442695741,1.29350093015755
27600,183.71147608757,2.21064085398591,1.27771404077654
28100,184.762100696564,2.08149988451923,1.27493961278504
28600,184.153318405151,2.0064156301972,1.21479330561267
29100,184.944297790527,2.04851473105836,1.20720315126024
29600,185.572519540787,2.05047640776643,1.2184822622303
30100,185.995852947235,2.01730187661513,1.21515055320836
30600,184.528182029724,2.10431763820576,1.20399572967484
31100,185.192409038544,1.93647119284815,1.16207853633035
31600,185.315217018127,1.9005148312932,1.15467149731614
32100,185.000897169113,2.03436733763152,1.16893026715735
32600,186.012441635132,1.97919094471603,1.16785474371699
33100,186.484832525253,1.91427048017097,1.13533588618753
33600,185.064853668213,2.01606578165589,1.14446254899629
34100,186.603841304779,1.87231067468473,1.10341340426257
34600,186.924255132675,1.90960212827577,1.10587576770407
35100,187.941930532455,1.81303713444464,1.09290469536071
35600,186.330687046051,1.92774429745077,1.10686100967612
36100,186.846906661987,1.85062892470543,1.08584792983327
36600,187.406422138214,1.7878931197891,1.05478342680663
37100,187.298298597336,1.80703785233909,1.02946575888719
37600,187.507969141006,1.73130660187052,1.02851995840985
38100,187.545677423477,1.66068748813847,1.00232970817869
38600,187.249148607254,1.69447561274389,1.03429334880149
39100,187.452705860138,1.67210616650198,1.00697293370396
39600,188.238322496414,1.88550918235667,1.04318011371344
40100,187.418715238571,1.65431149030683,0.973597782821447
40600,187.645688056946,1.58087930127499,0.977231519453929
41100,188.715779542923,1.60568202494164,0.961458136451486
41600,188.704005241394,1.59788934590363,0.966278801476539
42100,188.964509010315,1.57130743718142,0.957936309067863
42600,188.733172178268,1.54621841601725,0.966605573607748
43100,188.793242931366,1.58888894573163,0.964507016882847
43600,188.311398506165,1.52002887437714,0.946080545084024
44100,189.607588768005,1.46995475706798,0.912699103188461
