"sample_size","time.taken","RMSE","MAE","time.taken.test"
NA,NA,NA,NA,NA
100,0.0334126949310303,15.0462540646117,9.60425588968858,0.551017045974731
600,0.866392612457275,7.10526581549765,4.80998149437027,2.5714008808136
1100,2.78963851928711,6.12385491595949,4.20383991099707,4.73213720321655
1600,6.97928905487061,5.61443380594107,3.90109211543695,6.97036719322205
2100,13.3649473190308,5.48911198103685,3.87833884235783,9.08817481994629
2600,25.716418504715,5.33300142695604,3.68431806503605,11.3519892692566
3100,42.0526750087738,5.09355331764381,3.62284629763795,13.3606812953949
3600,62.8804590702057,5.07178870555442,3.56366847975213,15.5881993770599
4100,90.9692096710205,5.02292454637316,3.53827069990427,17.6604449748993
4600,124.302487611771,4.93879531825421,3.43406891202883,19.8988268375397
5100,164.937032222748,562.443295900676,519.551537253645,21.0531873703003
5600,213.652489185333,904.584248772428,884.697425373508,23.4497356414795
6100,268.706341266632,165.687726908421,131.599808885411,25.7666535377502
6600,333.946268558502,236.958662605283,197.142295942026,27.9211390018463
7100,410.112347602844,184.255598950632,146.825667313707,30.0244543552399
7600,492.778033256531,1081.73367548926,1069.99778750353,31.9141199588776
8100,590.345527172089,477.911149469361,446.124685029837,34.1875891685486
8600,699.702923297882,178.870783300212,150.686595399884,36.1719696521759
9100,828.519478082657,112.227083235344,92.797599254481,38.9550025463104
9600,963.595042943954,834.334989669578,823.853565822063,41.56804728508
10100,1105.6508409977,1260.03431070644,1243.16679509755,43.3370673656464
