"sample_size","time.taken","RMSE","MAE"
NA,NA,NA,NA
100,156.833886861801,14.614505533853,9.39088178230928
600,139.686318635941,8.30193117802846,5.02183333785739
1100,140.075216054916,7.79542257704451,4.47935969650089
1600,140.526124238968,6.69336995888272,4.07555017726319
2100,144.713499069214,6.02602458518992,3.56079718905193
2600,146.500078439713,5.31149893176971,3.33391521832077
3100,146.543751239777,5.34297677398296,3.28042765973788
3600,149.336678743362,5.2086442992388,3.20136803732984
4100,151.251066923141,4.94591820289109,2.9892725826841
4600,152.896107435226,4.84391271893764,2.9434030894995
5100,156.77996301651,4.57105286205696,2.78567592545407
5600,158.892736673355,4.74698406131172,2.80858166998265
6100,159.510370016098,4.58299677653682,2.73792992546164
6600,163.451790571213,4.0923089596302,2.52869608256494
7100,165.261644363403,4.33316465655665,2.54770334372399
7600,168.462158203125,4.13890469096609,2.42509503236533
8100,170.646691083908,3.94308845694523,2.3637196637671
8600,172.944753885269,3.75980516639809,2.28933953281653
9100,173.747267961502,3.69655198584041,2.2347935141768
9600,177.137121915817,3.62173323478755,2.21857355845986
10100,176.808865785599,3.73663088903095,2.13039327966052
10600,179.046862363815,3.40765721812862,2.07108807739817
11100,178.213176250458,3.43611289799017,2.05482997157731
11600,178.209623813629,3.29858862717326,2.02095747901445
12100,178.351794481277,3.3984998600175,1.99042200906425
12600,177.281555652618,3.32995372018692,1.94772784772015
13100,178.655782699585,3.33483151860736,1.93909129365724
13600,179.824009895325,3.21655687266713,1.90716164365736
14100,179.619015693665,3.21816501748779,1.88150527571746
14600,178.992587327957,2.98067122311393,1.7603231913468
15100,180.269459962845,2.90726174486409,1.76488138468351
15600,180.561879396439,3.12294161374018,1.78461748390452
16100,179.972198009491,2.94038345015476,1.73936730679325
16600,180.303464651108,3.03719194605871,1.73048674907286
17100,181.453392982483,2.80746420756897,1.69094269855344
17600,181.578193426132,2.78246124498372,1.63990472884458
18100,181.239238977432,2.89515089451306,1.67291592543471
18600,181.681780099869,2.78025093857177,1.58856573240759
19100,182.557457685471,2.84358789032805,1.63538483042219
19600,182.532096385956,2.76274630725049,1.59818044922755
20100,182.08375954628,3.17566897234369,1.6097434372218
20600,182.418932914734,2.53346274097124,1.49760269017217
21100,182.332035303116,2.54399804973887,1.4808148203765
21600,182.073353767395,2.61722045483466,1.52986411554174
22100,182.70701956749,2.43868258650929,1.45558914044652
22600,183.101823091507,2.4378385880996,1.44835195705851
23100,183.214201450348,2.4686453834338,1.4326669587868
23600,183.629813909531,2.33952721834006,1.41508056326548
24100,182.699082374573,2.36076219283797,1.38259253486738
24600,184.368622541428,2.21689631362838,1.33596334719373
25100,184.137537956238,2.2473225705727,1.35274651402376
25600,184.387938737869,2.28068886126281,1.33503056653043
26100,184.13453745842,2.28760468270459,1.30103277885584
26600,184.088933944702,2.22935853001297,1.31623194430987
27100,183.783812522888,2.21636435967131,1.31563861641643
27600,184.113028764725,2.29092758747062,1.30181633730208
28100,185.683359384537,2.19396065674662,1.27901837768954
28600,184.264523983002,2.26561984940748,1.27899711040733
29100,183.701099872589,2.09711988578534,1.24420975021495
29600,184.668797016144,2.08338821684102,1.2419843013516
30100,184.990532398224,2.17405116472804,1.21656515072217
30600,185.255645751953,2.10529788372743,1.20200720668614
31100,185.484539270401,2.08302379559705,1.20532228836933
31600,185.498085260391,1.97679430610253,1.15969335493851
32100,185.13596701622,2.00170239756652,1.17208760557169
32600,186.553558588028,2.0671564467856,1.17171273934712
33100,186.074797153473,1.91771334156021,1.11450245237664
33600,186.098705768585,1.83261108757156,1.08770162141895
34100,186.125292062759,1.87368579476619,1.11950810490824
34600,188.052834272385,1.85320886219269,1.11570173461669
35100,186.889404535294,1.95287797635082,1.11027389251377
35600,187.052193641663,1.85355161210079,1.08141558559173
36100,187.67009472847,1.79828546400222,1.08320582784422
36600,187.002029657364,1.74823132723763,1.03640787941051
37100,187.968505382538,1.70718261620279,1.04991543206988
37600,187.805790424347,1.75889987228858,1.05870587860383
38100,188.091026544571,1.78439988644386,1.05046565115598
38600,187.394136667252,1.75333722189769,1.03341256635718
39100,188.077138185501,1.6734167078193,1.02101252696889
39600,187.642918109894,1.65219226724121,0.987869647530743
40100,188.441007137299,1.61566567775925,1.00765769283992
40600,187.894902706146,1.61230139137917,0.98105596236248
41100,188.362812995911,1.58866440570697,0.971251607432677
41600,188.96932387352,1.56253285876445,0.958235428527049
42100,188.206928014755,1.57771894360659,0.954910952005583
42600,187.918037414551,1.48739706522829,0.905380108105293
43100,188.320423364639,1.53397255952293,0.944374841233711
43600,189.172808408737,1.5427774059892,0.948607080857356
44100,189.096521854401,1.49113537153092,0.926035196137707
