method,sample_size,time.taken,RMSE,MAE,time.taken.test
laplacedot,2100,8.160810947,5.61953208,3.988198292,0.002962828
laplacedot,2600,15.1372242,5.605110557,3.96532192,0.002987146
laplacedot,3100,27.88994694,5.597025785,3.956370315,0.002966404
laplacedot,3600,44.00450754,5.597783756,3.931568926,0.00301218
laplacedot,4100,65.79768419,5.592104867,3.942205639,0.003022909
laplacedot,4600,93.50508428,5.593097882,3.948113893,0.002993822
laplacedot,5100,127.1484709,5.595194015,3.9663674,0.003393888
laplacedot,5600,164.9374762,5.593963493,3.93645809,0.003060818
laplacedot,6100,213.7506151,5.587393382,3.951309047,0.003458261
laplacedot,6600,268.3685939,5.589639836,3.951170007,0.003496885
laplacedot,7100,334.9282172,5.584030652,3.938777894,0.003164291
laplacedot,7600,406.6606915,5.58359433,3.943376882,0.00356555
laplacedot,8100,491.7294211,5.584767326,3.940107531,0.00319171
laplacedot,8600,589.1047933,5.580931066,3.946738838,0.003245354
laplacedot,9100,704.0939484,5.581876181,3.93492075,0.00326848
laplacedot,9600,823.5789964,5.581426853,3.938266958,0.003306627
laplacedot,10100,953.6887829,5.577997301,3.946212575,0.003401041
laplacedot,10600,1138.499715,5.581587496,3.952106717,0.003639698
laplacedot,11100,1307.768817,5.578177141,3.941489039,0.003566742
laplacedot,11600,1486.648295,5.578511937,3.947607405,0.004009962
laplacedot,12100,1690.231982,5.58329297,3.948928867,0.003596783
laplacedot,12600,1909.804255,5.578807765,3.944661649,0.004100561
laplacedot,13100,2154.096011,5.576710958,3.955495949,0.004093409
laplacedot,13600,2398.770425,5.581765449,3.948830233,0.004014254
laplacedot,14100,2692.982287,5.576218173,3.94400893,0.00374794
laplacedot,14600,2988.469974,5.579521555,3.942724442,0.003994703
laplacedot,15100,3298.534234,5.577211569,3.94028037,0.004292727
laplacedot,15600,3495.265439,5.577457626,3.939153813,0.003836393
laplacedot,16100,3789.574707,5.57898873,3.944513027,0.007335424
laplacedot,16600,4198.1369,5.579622538,3.94573485,0.003829002
laplacedot,17100,4587.161586,5.577296508,3.949766525,0.00429678
laplacedot,17600,4961.688071,5.577809627,3.94580079,0.004479885
laplacedot,18100,5428.62894,5.577656507,3.939365279,0.004180431
