"sample_size","time.taken","RMSE","MAE","time.taken.test"
NA,NA,NA,NA,NA
100,0.00777864456176758,2.43211717831874,1.76857874638737,0.0088346004486084
400,0.0884065628051758,2.22867137883528,1.57507168391644,0.032576322555542
700,0.382641315460205,2.18064249764341,1.50589010607865,0.0563738346099854
1000,0.966947317123413,2.11177992829072,1.5446501367974,0.0805671215057373
1300,1.9807608127594,2.12392215661989,1.51683258720041,0.104153871536255
1600,3.5427188873291,2.10505741495744,1.48724868231112,0.128273248672485
1900,6.60536694526672,2.09820896664898,1.4894152096212,0.156069755554199
2200,10.3706133365631,2.09316158084116,1.48933604880016,0.17711329460144
2500,15.240104675293,2.09941007078264,1.48276902466979,0.20092511177063
2800,22.5744774341583,2.0862452560717,1.48415498221415,0.226876497268677
3100,30.5758650302887,2.08358990911286,1.48365119389106,0.249638080596924
3341,38.1744606494904,2.08157694872625,1.48110353851083,0.266906499862671
