"data","method","sample_size","time.taken","RMSE","MAE"
"airplane","vanilladot",12100,1626.49810242653,0.971177361391552,0.626304896068664
"airplane","vanilladot",13100,2061.3501200676,0.971279123686325,0.624617564268133
"airplane","vanilladot",14100,2571.3182926178,0.970675800738984,0.627773196830767
"airplane","vanilladot",15100,3141.80675458908,0.97018973783959,0.630139932431372
"SARCOS","laplacedot",100,0.036973476,6.033177594,4.318668099
"SARCOS","laplacedot",600,0.41256547,5.757342207,4.02304524
"SARCOS","laplacedot",1100,1.306790352,5.616997175,3.973141753
"SARCOS","laplacedot",1600,3.658359289,5.645587197,3.967903964
"SARCOS","laplacedot",2100,8.160810947,5.61953208,3.988198292
"SARCOS","laplacedot",2600,15.1372242,5.605110557,3.96532192
"SARCOS","laplacedot",3100,27.88994694,5.597025785,3.956370315
"SARCOS","laplacedot",3600,44.00450754,5.597783756,3.931568926
"SARCOS","laplacedot",4100,65.79768419,5.592104867,3.942205639
"SARCOS","laplacedot",4600,93.50508428,5.593097882,3.948113893
"SARCOS","laplacedot",5100,127.1484709,5.595194015,3.9663674
"SARCOS","laplacedot",5600,164.9374762,5.593963493,3.93645809
"SARCOS","laplacedot",6100,213.7506151,5.587393382,3.951309047
"SARCOS","laplacedot",6600,268.3685939,5.589639836,3.951170007
"SARCOS","laplacedot",7100,334.9282172,5.584030652,3.938777894
"SARCOS","laplacedot",7600,406.6606915,5.58359433,3.943376882
"SARCOS","laplacedot",8100,491.7294211,5.584767326,3.940107531
"SARCOS","laplacedot",8600,589.1047933,5.580931066,3.946738838
"SARCOS","laplacedot",9100,704.0939484,5.581876181,3.93492075
"SARCOS","laplacedot",9600,823.5789964,5.581426853,3.938266958
"SARCOS","laplacedot",10100,953.6887829,5.577997301,3.946212575
"SARCOS","laplacedot",10600,1138.499715,5.581587496,3.952106717
"SARCOS","laplacedot",11100,1307.768817,5.578177141,3.941489039
"SARCOS","laplacedot",11600,1486.648295,5.578511937,3.947607405
"SARCOS","laplacedot",12100,1690.231982,5.58329297,3.948928867
"SARCOS","laplacedot",12600,1909.804255,5.578807765,3.944661649
"SARCOS","laplacedot",13100,2154.096011,5.576710958,3.955495949
"SARCOS","laplacedot",13600,2398.770425,5.581765449,3.948830233
"SARCOS","laplacedot",14100,2692.982287,5.576218173,3.94400893
"SARCOS","laplacedot",14600,2988.469974,5.579521555,3.942724442
"SARCOS","laplacedot",15100,3298.534234,5.577211569,3.94028037
"SARCOS","laplacedot",15600,3495.265439,5.577457626,3.939153813
"SARCOS","laplacedot",16100,3789.574707,5.57898873,3.944513027
"SARCOS","laplacedot",16600,4198.1369,5.579622538,3.94573485
"SARCOS","laplacedot",17100,4587.161586,5.577296508,3.949766525
"SARCOS","laplacedot",17600,4961.688071,5.577809627,3.94580079
"SARCOS","laplacedot",18100,5428.62894,5.577656507,3.939365279
"SARCOS","rbfdot",100,0.11386466,14.19963826,9.3163075505
"SARCOS","rbfdot",600,0.371691942,7.846938133,4.966765641
"SARCOS","rbfdot",1100,1.683328867,6.664954702,4.159966851
"SARCOS","rbfdot",1600,3.207813978,5.985382991,3.85920764
"SARCOS","rbfdot",2100,7.793009758,5.454226709,3.5053485305
"SARCOS","rbfdot",2600,16.57521868,5.220799217,3.467796677
"SARCOS","rbfdot",3100,28.14861441,4.927879752,3.154007894
"SARCOS","rbfdot",3600,45.20437407,4.709701776,3.108043413
"SARCOS","rbfdot",4100,67.17183113,4.495762496,2.971850612
"SARCOS","rbfdot",4600,96.29787159,4.431301108,2.925874629
"SARCOS","rbfdot",5100,128.6793897,4.272697984,2.838595927
"SARCOS","rbfdot",5600,168.9210527,4.056524587,2.782964098
"SARCOS","rbfdot",6100,216.234396,4.11724252,2.743987857
"SARCOS","rbfdot",6600,272.6428258,3.992399866,2.671297906
"SARCOS","rbfdot",7100,338.4584196,3.897380068,2.614050949
"SARCOS","rbfdot",7600,418.4536216,3.82072703,2.60589659
"SARCOS","rbfdot",8100,497.8863256,3.829970297,2.5930156145
"SARCOS","rbfdot",8600,606.0871251,3.800582005,2.57575837
"SARCOS","rbfdot",9100,711.2097611,3.737892618,2.4936193135
"SARCOS","rbfdot",9600,843.4611294,3.646516981,2.492373845
"SARCOS","rbfdot",10100,962.4863396,3.654460051,2.482122249
"SARCOS","rbfdot",10600,1121.975082,3.550011471,2.429618407
